UniqueID,appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer
241,289650,Assassin's Creed® Unity,game,39.99,11/11/2014 00:00,-1,17,1
242,290080,Life is Feudal: Your Own,game,39.99,11/17/2015 0:00,63,0,1
243,292910,Deponia: The Complete Journey,game,39.99,07/08/2014 00:00,-1,0,0
244,297750,Close Combat - Gateway to Caen,game,39.99,06/06/2014 00:00,-1,0,1
245,298110,Far Cry® 4,game,39.99,11/01/2014 00:00,80,17,1
246,300260,Planetoid Pioneers,game,39.99,4/15/2016 0:00,-1,0,0
247,301320,NoLimits 2 Roller Coaster Simulation,game,39.99,8/21/2014 0:00,-1,0,0
248,306630,Civil War II,game,39.99,07/03/2014 00:00,-1,0,1
249,306640,Battle Academy 2: Eastern Front,game,39.99,09/12/2014 00:00,78,0,1
250,307780,Mortal Kombat X,game,39.99,4/13/2015 0:00,76,17,1
251,310470,Grand Ages: Medieval,game,39.99,9/25/2015 0:00,63,0,1
252,311310,Naval Action,game,39.99,1/21/2016 0:00,-1,0,1
253,311730,DEAD OR ALIVE® 5 Last Round,game,39.99,3/30/2015 0:00,-1,17,1
254,312360,To End All Wars,game,39.99,8/29/2014 0:00,71,0,1
255,312370,"Warhammer 40,000: Armageddon",game,39.99,11/26/2014 0:00,68,0,1
256,312450,Order of Battle: Pacific,game,39.99,4/30/2015 0:00,81,0,1
257,315660,Trainz: A New Era,game,39.99,5/14/2015 0:00,-1,0,1
258,316620,Space Galaxy - Graphics Pack,game,39.99,8/22/2014 0:00,-1,0,0
259,319410,Duck Dynasty®,game,39.99,10/14/2014 0:00,-1,0,1
260,322850,Pro Cycling Manager 2015,game,39.99,6/18/2015 0:00,-1,0,1
261,322930,aerofly RC 7,game,39.99,11/06/2014 00:00,-1,0,0
262,327490,RTS Creator,game,39.99,12/01/2014 00:00,-1,0,0
263,329890,MyRPG Master,game,39.99,02/09/2015 00:00,-1,0,0
264,335310,Eisenbahn X,game,39.99,06/08/2015 00:00,-1,0,0
265,336530,PD Howler 9.6 Digital Painter and Visual FX box,game,39.99,03/11/2015 00:00,-1,0,0
266,337760,Decisive Campaigns: The Blitzkrieg from Warsaw to Paris,game,39.99,1/22/2015 0:00,-1,0,1
267,338400,Teenage Mutant Ninja Turtles™: Mutants in Manhattan,game,39.99,5/24/2016 0:00,-1,0,1
268,345610,The Fruit of Grisaia,game,39.99,5/29/2015 0:00,-1,17,0
269,345660,RIDE,game,39.99,3/27/2015 0:00,68,0,1
270,352400,LEGO® Jurassic World,game,39.99,06/11/2015 00:00,72,0,0
271,354160,WRC 5 FIA World Rally Championship,game,39.99,10/08/2015 00:00,65,0,1
272,354600,Decisive Campaigns: Case Blue,game,39.99,05/07/2015 00:00,-1,0,1
273,355130,MotoGP™15,game,39.99,6/23/2015 0:00,-1,0,1
274,356940,MAGIX Music Maker Hip Hop Edition 6,game,39.99,3/30/2015 0:00,-1,0,0
275,363680,Battlefleet Gothic: Armada,game,39.99,4/21/2016 0:00,78,0,1
276,368220,Close Combat - Panthers in the Fog,game,39.99,5/14/2015 0:00,-1,0,1
277,368470,GeoVox,game,39.99,5/22/2015 0:00,-1,0,0
278,369190,Shoot 'Em Up Kit,game,39.99,06/05/2015 00:00,-1,0,0
279,372390,D3DGear - Game Recording and Streaming Software,game,39.99,5/21/2015 0:00,-1,0,0
280,373000,Family Tree Heritage Platinum 9,game,39.99,7/23/2015 0:00,-1,0,0
281,373420,Divinity: Original Sin - Enhanced Edition,game,39.99,10/27/2015 0:00,94,0,1
282,375230,"Warhammer 40,000 : Eternal Crusade",game,39.99,1/26/2016 0:00,-1,0,1
283,375900,Trackmania® Turbo,game,39.99,3/24/2016 0:00,-1,0,1
284,377520,Pike and Shot : Campaigns,game,39.99,8/13/2015 0:00,-1,0,1
285,384320,Handball 16,game,39.99,11/27/2015 0:00,-1,0,1
286,386070,Planetary Annihilation: TITANS,game,39.99,8/18/2015 0:00,-1,0,1
287,386690,Fantastic Contraption,game,39.99,04/05/2016 00:00,-1,0,0
288,393380,Squad,game,39.99,12/14/2015 0:00,-1,0,1
289,400360,Adam's Venture: Origins,game,39.99,04/01/2016 00:00,-1,0,0
290,402430,Out of the Park Baseball 17,game,39.99,3/22/2016 0:00,93,0,1
291,404920,Emergency 2016,game,39.99,10/15/2015 0:00,-1,0,1
292,405310,LEGO® MARVEL's Avengers,game,39.99,1/26/2016 0:00,-1,0,0
293,406720,Alekhine's Gun,game,39.99,03/11/2016 00:00,38,0,0
294,413540,Recourse,game,39.99,2/29/2016 0:00,-1,0,0
295,418250,Polaris Sector,game,39.99,3/22/2016 0:00,75,0,0
296,427970,Heathen Engineering's Terran,game,39.99,3/21/2016 0:00,-1,0,0
297,452420,Koihime Enbu,game,39.99,5/19/2016 0:00,-1,0,1
298,458380,Gahkthun of the Golden Lightning Steam Edition,game,39.99,4/15/2016 0:00,-1,18,0
